event,gender,age_group,min_age,max_age,value,points
3 Repetition Deadlift,Male,37-41,37,41,330.0,97
3 Repetition Deadlift,Female,37-41,37,41,190.0,97
3 Repetition Deadlift,Male,42-46,42,46,320.0,97
3 Repetition Deadlift,Female,42-46,42,46,190.0,97
3 Repetition Deadlift,Male,47-51,47,51,300.0,97
3 Repetition Deadlift,Female,47-51,47,51,170.0,97
3 Repetition Deadlift,Male,52-56,52,56,260.0,97
3 Repetition Deadlift,Female,52-56,52,56,160.0,97
3 Repetition Deadlift,Male,57-61,57,61,220.0,97
3 Repetition Deadlift,Female,57-61,57,61,160.0,97
3 Repetition Deadlift,Male,Over 62,62,100,210.0,97
3 Repetition Deadlift,Female,Over 62,62,100,160.0,97
3 Repetition Deadlift,Male,17-21,17,21,320.0,96
3 Repetition Deadlift,Female,17-21,17,21,190.0,96
3 Repetition Deadlift,Male,22-26,22,26,330.0,96
3 Repetition Deadlift,Female,22-26,22,26,200.0,96
3 Repetition Deadlift,Male,27-31,27,31,330.0,96
3 Repetition Deadlift,Female,27-31,27,31,210.0,96
3 Repetition Deadlift,Male,32-36,32,36,330.0,96
3 Repetition Deadlift,Female,32-36,32,36,200.0,96
3 Repetition Deadlift,Male,37-41,37,41,330.0,96
3 Repetition Deadlift,Female,37-41,37,41,190.0,96
3 Repetition Deadlift,Male,42-46,42,46,310.0,96
3 Repetition Deadlift,Female,42-46,42,46,180.0,96
3 Repetition Deadlift,Male,47-51,47,51,290.0,96
3 Repetition Deadlift,Female,47-51,47,51,170.0,96
3 Repetition Deadlift,Male,52-56,52,56,250.0,96
3 Repetition Deadlift,Female,52-56,52,56,160.0,96
3 Repetition Deadlift,Male,57-61,57,61,210.0,96
3 Repetition Deadlift,Female,57-61,57,61,160.0,96
3 Repetition Deadlift,Male,Over 62,62,100,210.0,96
3 Repetition Deadlift,Female,Over 62,62,100,160.0,96
3 Repetition Deadlift,Male,17-21,17,21,310.0,95
3 Repetition Deadlift,Female,17-21,17,21,190.0,95
3 Repetition Deadlift,Male,22-26,22,26,330.0,95
3 Repetition Deadlift,Female,22-26,22,26,200.0,95
3 Repetition Deadlift,Male,27-31,27,31,330.0,95
3 Repetition Deadlift,Female,27-31,27,31,200.0,95
3 Repetition Deadlift,Male,32-36,32,36,330.0,95
3 Repetition Deadlift,Female,32-36,32,36,190.0,95
3 Repetition Deadlift,Male,37-41,37,41,320.0,95
3 Repetition Deadlift,Female,37-41,37,41,180.0,95
3 Repetition Deadlift,Male,42-46,42,46,300.0,95
3 Repetition Deadlift,Female,42-46,42,46,170.0,95
3 Repetition Deadlift,Male,47-51,47,51,280.0,95
3 Repetition Deadlift,Female,47-51,47,51,170.0,95
3 Repetition Deadlift,Male,52-56,52,56,240.0,95
3 Repetition Deadlift,Female,52-56,52,56,160.0,95
3 Repetition Deadlift,Male,57-61,57,61,210.0,95
3 Repetition Deadlift,Female,57-61,57,61,160.0,95
3 Repetition Deadlift,Male,Over 62,62,100,200.0,95
3 Repetition Deadlift,Female,Over 62,62,100,160.0,95
3 Repetition Deadlift,Male,17-21,17,21,310.0,94
3 Repetition Deadlift,Female,17-21,17,21,180.0,94
3 Repetition Deadlift,Male,22-26,22,26,330.0,94
3 Repetition Deadlift,Female,22-26,22,26,190.0,94
3 Repetition Deadlift,Male,27-31,27,31,330.0,94
3 Repetition Deadlift,Female,27-31,27,31,190.0,94
3 Repetition Deadlift,Male,32-36,32,36,330.0,94
3 Repetition Deadlift,Female,32-36,32,36,190.0,94
3 Repetition Deadlift,Male,37-41,37,41,310.0,94
3 Repetition Deadlift,Female,37-41,37,41,180.0,94
3 Repetition Deadlift,Male,42-46,42,46,290.0,94
3 Repetition Deadlift,Female,42-46,42,46,170.0,94
3 Repetition Deadlift,Male,47-51,47,51,270.0,94
3 Repetition Deadlift,Female,47-51,47,51,170.0,94
3 Repetition Deadlift,Male,52-56,52,56,230.0,94
3 Repetition Deadlift,Female,52-56,52,56,160.0,94
3 Repetition Deadlift,Male,57-61,57,61,200.0,94
3 Repetition Deadlift,Female,57-61,57,61,160.0,94
3 Repetition Deadlift,Male,Over 62,62,100,190.0,94
3 Repetition Deadlift,Female,Over 62,62,100,160.0,94
3 Repetition Deadlift,Male,17-21,17,21,300.0,93
3 Repetition Deadlift,Female,17-21,17,21,180.0,93
3 Repetition Deadlift,Male,22-26,22,26,330.0,93
3 Repetition Deadlift,Female,22-26,22,26,190.0,93
3 Repetition Deadlift,Male,27-31,27,31,330.0,93
3 Repetition Deadlift,Female,27-31,27,31,190.0,93
3 Repetition Deadlift,Male,32-36,32,36,320.0,93
3 Repetition Deadlift,Female,32-36,32,36,180.0,93
3 Repetition Deadlift,Male,37-41,37,41,300.0,93
3 Repetition Deadlift,Female,37-41,37,41,170.0,93
3 Repetition Deadlift,Male,42-46,42,46,280.0,93
3 Repetition Deadlift,Female,42-46,42,46,170.0,93
3 Repetition Deadlift,Male,47-51,47,51,260.0,93
3 Repetition Deadlift,Female,47-51,47,51,170.0,93
3 Repetition Deadlift,Male,52-56,52,56,220.0,93
3 Repetition Deadlift,Female,52-56,52,56,160.0,93
3 Repetition Deadlift,Male,57-61,57,61,190.0,93
3 Repetition Deadlift,Female,57-61,57,61,160.0,93
3 Repetition Deadlift,Male,Over 62,62,100,180.0,93
3 Repetition Deadlift,Female,Over 62,62,100,160.0,93
3 Repetition Deadlift,Male,17-21,17,21,300.0,92
3 Repetition Deadlift,Female,17-21,17,21,180.0,92
3 Repetition Deadlift,Male,22-26,22,26,320.0,92
3 Repetition Deadlift,Female,22-26,22,26,190.0,92
3 Repetition Deadlift,Male,27-31,27,31,330.0,92
3 Repetition Deadlift,Female,27-31,27,31,190.0,92
3 Repetition Deadlift,Male,32-36,32,36,320.0,92
3 Repetition Deadlift,Female,32-36,32,36,180.0,92
3 Repetition Deadlift,Male,37-41,37,41,290.0,92
3 Repetition Deadlift,Female,37-41,37,41,170.0,92
3 Repetition Deadlift,Male,42-46,42,46,270.0,92
3 Repetition Deadlift,Female,42-46,42,46,170.0,92
3 Repetition Deadlift,Male,47-51,47,51,250.0,92
3 Repetition Deadlift,Female,47-51,47,51,170.0,92
3 Repetition Deadlift,Male,52-56,52,56,220.0,92
3 Repetition Deadlift,Female,52-56,52,56,160.0,92
3 Repetition Deadlift,Male,57-61,57,61,190.0,92
3 Repetition Deadlift,Female,57-61,57,61,160.0,92
3 Repetition Deadlift,Male,Over 62,62,100,170.0,92
3 Repetition Deadlift,Female,Over 62,62,100,160.0,92
3 Repetition Deadlift,Male,17-21,17,21,290.0,91
3 Repetition Deadlift,Female,17-21,17,21,170.0,91
3 Repetition Deadlift,Male,22-26,22,26,320.0,91
3 Repetition Deadlift,Female,22-26,22,26,180.0,91
3 Repetition Deadlift,Male,27-31,27,31,320.0,91
3 Repetition Deadlift,Female,27-31,27,31,180.0,91
3 Repetition Deadlift,Male,32-36,32,36,310.0,91
3 Repetition Deadlift,Female,32-36,32,36,170.0,91
3 Repetition Deadlift,Male,37-41,37,41,280.0,91
3 Repetition Deadlift,Female,37-41,37,41,170.0,91
3 Repetition Deadlift,Male,42-46,42,46,260.0,91
3 Repetition Deadlift,Female,42-46,42,46,170.0,91
3 Repetition Deadlift,Male,47-51,47,51,240.0,91
3 Repetition Deadlift,Female,47-51,47,51,170.0,91
3 Repetition Deadlift,Male,52-56,52,56,220.0,91
3 Repetition Deadlift,Female,52-56,52,56,160.0,91
3 Repetition Deadlift,Male,57-61,57,61,180.0,91
3 Repetition Deadlift,Female,57-61,57,61,160.0,91
3 Repetition Deadlift,Male,Over 62,62,100,170.0,91
3 Repetition Deadlift,Female,Over 62,62,100,160.0,91
3 Repetition Deadlift,Male,17-21,17,21,280.0,90
3 Repetition Deadlift,Female,17-21,17,21,170.0,90
3 Repetition Deadlift,Male,22-26,22,26,310.0,90
3 Repetition Deadlift,Female,22-26,22,26,180.0,90
3 Repetition Deadlift,Male,27-31,27,31,310.0,90
3 Repetition Deadlift,Female,27-31,27,31,180.0,90
3 Repetition Deadlift,Male,32-36,32,36,300.0,90
3 Repetition Deadlift,Female,32-36,32,36,170.0,90
3 Repetition Deadlift,Male,37-41,37,41,270.0,90
3 Repetition Deadlift,Female,37-41,37,41,160.0,90
3 Repetition Deadlift,Male,42-46,42,46,260.0,90
3 Repetition Deadlift,Female,42-46,42,46,160.0,90
3 Repetition Deadlift,Male,47-51,47,51,230.0,90
3 Repetition Deadlift,Female,47-51,47,51,160.0,90
3 Repetition Deadlift,Male,52-56,52,56,210.0,90
3 Repetition Deadlift,Female,52-56,52,56,150.0,90
3 Repetition Deadlift,Male,57-61,57,61,180.0,90
3 Repetition Deadlift,Female,57-61,57,61,150.0,90
3 Repetition Deadlift,Male,Over 62,62,100,170.0,90
3 Repetition Deadlift,Female,Over 62,62,100,150.0,90
3 Repetition Deadlift,Male,17-21,17,21,280.0,89
3 Repetition Deadlift,Female,17-21,17,21,170.0,89
3 Repetition Deadlift,Male,22-26,22,26,290.0,89
3 Repetition Deadlift,Female,22-26,22,26,170.0,89
3 Repetition Deadlift,Male,27-31,27,31,300.0,89
3 Repetition Deadlift,Female,27-31,27,31,170.0,89
3 Repetition Deadlift,Male,32-36,32,36,290.0,89
3 Repetition Deadlift,Female,32-36,32,36,170.0,89
3 Repetition Deadlift,Male,37-41,37,41,270.0,89
3 Repetition Deadlift,Female,37-41,37,41,160.0,89
3 Repetition Deadlift,Male,42-46,42,46,250.0,89
3 Repetition Deadlift,Female,42-46,42,46,160.0,89
3 Repetition Deadlift,Male,47-51,47,51,220.0,89
3 Repetition Deadlift,Female,47-51,47,51,160.0,89
3 Repetition Deadlift,Male,52-56,52,56,210.0,89
3 Repetition Deadlift,Female,52-56,52,56,150.0,89
3 Repetition Deadlift,Male,57-61,57,61,170.0,89
3 Repetition Deadlift,Female,57-61,57,61,150.0,89
3 Repetition Deadlift,Male,Over 62,62,100,170.0,89
3 Repetition Deadlift,Female,Over 62,62,100,150.0,89
3 Repetition Deadlift,Male,17-21,17,21,280.0,88
3 Repetition Deadlift,Female,17-21,17,21,170.0,88
3 Repetition Deadlift,Male,22-26,22,26,280.0,88
3 Repetition Deadlift,Female,22-26,22,26,170.0,88
3 Repetition Deadlift,Male,27-31,27,31,290.0,88
3 Repetition Deadlift,Female,27-31,27,31,170.0,88
3 Repetition Deadlift,Male,32-36,32,36,280.0,88
3 Repetition Deadlift,Female,32-36,32,36,160.0,88
3 Repetition Deadlift,Male,37-41,37,41,260.0,88
3 Repetition Deadlift,Female,37-41,37,41,160.0,88
3 Repetition Deadlift,Male,42-46,42,46,250.0,88
3 Repetition Deadlift,Female,42-46,42,46,160.0,88
3 Repetition Deadlift,Male,47-51,47,51,220.0,88
3 Repetition Deadlift,Female,47-51,47,51,160.0,88
3 Repetition Deadlift,Male,52-56,52,56,200.0,88
3 Repetition Deadlift,Female,52-56,52,56,150.0,88
3 Repetition Deadlift,Male,57-61,57,61,170.0,88
3 Repetition Deadlift,Female,57-61,57,61,150.0,88
3 Repetition Deadlift,Male,Over 62,62,100,170.0,88
3 Repetition Deadlift,Female,Over 62,62,100,150.0,88
3 Repetition Deadlift,Male,17-21,17,21,270.0,87
3 Repetition Deadlift,Female,17-21,17,21,160.0,87
3 Repetition Deadlift,Male,22-26,22,26,280.0,87
3 Repetition Deadlift,Female,22-26,22,26,160.0,87
3 Repetition Deadlift,Male,27-31,27,31,280.0,87
3 Repetition Deadlift,Female,27-31,27,31,170.0,87
3 Repetition Deadlift,Male,32-36,32,36,270.0,87
3 Repetition Deadlift,Female,32-36,32,36,160.0,87
3 Repetition Deadlift,Male,37-41,37,41,260.0,87
3 Repetition Deadlift,Female,37-41,37,41,160.0,87
3 Repetition Deadlift,Male,42-46,42,46,240.0,87
3 Repetition Deadlift,Female,42-46,42,46,160.0,87
3 Repetition Deadlift,Male,47-51,47,51,210.0,87
3 Repetition Deadlift,Female,47-51,47,51,160.0,87
3 Repetition Deadlift,Male,52-56,52,56,200.0,87
3 Repetition Deadlift,Female,52-56,52,56,150.0,87
3 Repetition Deadlift,Male,57-61,57,61,170.0,87
3 Repetition Deadlift,Female,57-61,57,61,150.0,87
3 Repetition Deadlift,Male,Over 62,62,100,170.0,87
3 Repetition Deadlift,Female,Over 62,62,100,150.0,87
3 Repetition Deadlift,Male,17-21,17,21,270.0,86
3 Repetition Deadlift,Female,17-21,17,21,160.0,86
3 Repetition Deadlift,Male,22-26,22,26,270.0,86
3 Repetition Deadlift,Female,22-26,22,26,160.0,86
3 Repetition Deadlift,Male,27-31,27,31,280.0,86
3 Repetition Deadlift,Female,27-31,27,31,160.0,86
3 Repetition Deadlift,Male,32-36,32,36,270.0,86
3 Repetition Deadlift,Female,32-36,32,36,160.0,86
3 Repetition Deadlift,Male,37-41,37,41,250.0,86
3 Repetition Deadlift,Female,37-41,37,41,160.0,86
3 Repetition Deadlift,Male,42-46,42,46,240.0,86
3 Repetition Deadlift,Female,42-46,42,46,160.0,86
3 Repetition Deadlift,Male,47-51,47,51,210.0,86
3 Repetition Deadlift,Female,47-51,47,51,160.0,86
3 Repetition Deadlift,Male,52-56,52,56,190.0,86
3 Repetition Deadlift,Female,52-56,52,56,150.0,86
3 Repetition Deadlift,Male,57-61,57,61,170.0,86
3 Repetition Deadlift,Female,57-61,57,61,150.0,86
3 Repetition Deadlift,Male,Over 62,62,100,170.0,86
3 Repetition Deadlift,Female,Over 62,62,100,150.0,86
3 Repetition Deadlift,Male,17-21,17,21,270.0,85
3 Repetition Deadlift,Female,17-21,17,21,160.0,85
3 Repetition Deadlift,Male,22-26,22,26,270.0,85
3 Repetition Deadlift,Female,22-26,22,26,160.0,85
3 Repetition Deadlift,Male,27-31,27,31,270.0,85
3 Repetition Deadlift,Female,27-31,27,31,160.0,85
3 Repetition Deadlift,Male,32-36,32,36,260.0,85
3 Repetition Deadlift,Female,32-36,32,36,160.0,85
3 Repetition Deadlift,Male,37-41,37,41,250.0,85
3 Repetition Deadlift,Female,37-41,37,41,160.0,85
3 Repetition Deadlift,Male,42-46,42,46,230.0,85
3 Repetition Deadlift,Female,42-46,42,46,160.0,85
3 Repetition Deadlift,Male,47-51,47,51,200.0,85
3 Repetition Deadlift,Female,47-51,47,51,160.0,85
3 Repetition Deadlift,Male,52-56,52,56,180.0,85
3 Repetition Deadlift,Female,52-56,52,56,150.0,85
3 Repetition Deadlift,Male,57-61,57,61,170.0,85
3 Repetition Deadlift,Female,57-61,57,61,150.0,85
3 Repetition Deadlift,Male,Over 62,62,100,170.0,85
3 Repetition Deadlift,Female,Over 62,62,100,150.0,85
3 Repetition Deadlift,Male,17-21,17,21,260.0,84
3 Repetition Deadlift,Female,17-21,17,21,160.0,84
3 Repetition Deadlift,Male,22-26,22,26,260.0,84
3 Repetition Deadlift,Female,22-26,22,26,160.0,84
3 Repetition Deadlift,Male,27-31,27,31,260.0,84
3 Repetition Deadlift,Female,27-31,27,31,160.0,84
3 Repetition Deadlift,Male,32-36,32,36,260.0,84
3 Repetition Deadlift,Female,32-36,32,36,160.0,84
3 Repetition Deadlift,Male,37-41,37,41,240.0,84
3 Repetition Deadlift,Female,37-41,37,41,160.0,84
3 Repetition Deadlift,Male,42-46,42,46,220.0,84
3 Repetition Deadlift,Female,42-46,42,46,160.0,84
3 Repetition Deadlift,Male,47-51,47,51,200.0,84
3 Repetition Deadlift,Female,47-51,47,51,160.0,84
3 Repetition Deadlift,Male,52-56,52,56,170.0,84
3 Repetition Deadlift,Female,52-56,52,56,150.0,84
3 Repetition Deadlift,Male,57-61,57,61,170.0,84
3 Repetition Deadlift,Female,57-61,57,61,150.0,84
3 Repetition Deadlift,Male,Over 62,62,100,170.0,84
3 Repetition Deadlift,Female,Over 62,62,100,150.0,84
3 Repetition Deadlift,Male,17-21,17,21,250.0,83
3 Repetition Deadlift,Female,17-21,17,21,160.0,83
3 Repetition Deadlift,Male,22-26,22,26,260.0,83
3 Repetition Deadlift,Female,22-26,22,26,160.0,83
3 Repetition Deadlift,Male,27-31,27,31,260.0,83
3 Repetition Deadlift,Female,27-31,27,31,160.0,83
3 Repetition Deadlift,Male,32-36,32,36,250.0,83
3 Repetition Deadlift,Female,32-36,32,36,160.0,83
3 Repetition Deadlift,Male,37-41,37,41,240.0,83
3 Repetition Deadlift,Female,37-41,37,41,160.0,83
3 Repetition Deadlift,Male,42-46,42,46,220.0,83
3 Repetition Deadlift,Female,42-46,42,46,160.0,83
3 Repetition Deadlift,Male,47-51,47,51,190.0,83
3 Repetition Deadlift,Female,47-51,47,51,160.0,83
3 Repetition Deadlift,Male,52-56,52,56,170.0,83
3 Repetition Deadlift,Female,52-56,52,56,150.0,83
3 Repetition Deadlift,Male,57-61,57,61,170.0,83
3 Repetition Deadlift,Female,57-61,57,61,150.0,83
3 Repetition Deadlift,Male,Over 62,62,100,170.0,83
3 Repetition Deadlift,Female,Over 62,62,100,150.0,83
3 Repetition Deadlift,Male,17-21,17,21,240.0,82
3 Repetition Deadlift,Female,17-21,17,21,160.0,82
3 Repetition Deadlift,Male,22-26,22,26,260.0,82
3 Repetition Deadlift,Female,22-26,22,26,160.0,82
3 Repetition Deadlift,Male,27-31,27,31,260.0,82
3 Repetition Deadlift,Female,27-31,27,31,160.0,82
3 Repetition Deadlift,Male,32-36,32,36,250.0,82
3 Repetition Deadlift,Female,32-36,32,36,160.0,82
3 Repetition Deadlift,Male,37-41,37,41,230.0,82
3 Repetition Deadlift,Female,37-41,37,41,160.0,82
3 Repetition Deadlift,Male,42-46,42,46,220.0,82
3 Repetition Deadlift,Female,42-46,42,46,160.0,82
3 Repetition Deadlift,Male,47-51,47,51,190.0,82
3 Repetition Deadlift,Female,47-51,47,51,160.0,82
3 Repetition Deadlift,Male,52-56,52,56,170.0,82
3 Repetition Deadlift,Female,52-56,52,56,150.0,82
3 Repetition Deadlift,Male,57-61,57,61,170.0,82
3 Repetition Deadlift,Female,57-61,57,61,150.0,82
3 Repetition Deadlift,Male,Over 62,62,100,160.0,82
3 Repetition Deadlift,Female,Over 62,62,100,150.0,82
3 Repetition Deadlift,Male,17-21,17,21,240.0,81
3 Repetition Deadlift,Female,17-21,17,21,160.0,81
3 Repetition Deadlift,Male,22-26,22,26,250.0,81
3 Repetition Deadlift,Female,22-26,22,26,160.0,81
3 Repetition Deadlift,Male,27-31,27,31,250.0,81
3 Repetition Deadlift,Female,27-31,27,31,160.0,81
3 Repetition Deadlift,Male,32-36,32,36,240.0,81
3 Repetition Deadlift,Female,32-36,32,36,160.0,81
3 Repetition Deadlift,Male,37-41,37,41,220.0,81
3 Repetition Deadlift,Female,37-41,37,41,160.0,81
3 Repetition Deadlift,Male,42-46,42,46,210.0,81
3 Repetition Deadlift,Female,42-46,42,46,160.0,81
3 Repetition Deadlift,Male,47-51,47,51,180.0,81
3 Repetition Deadlift,Female,47-51,47,51,160.0,81
3 Repetition Deadlift,Male,52-56,52,56,170.0,81
3 Repetition Deadlift,Female,52-56,52,56,150.0,81
3 Repetition Deadlift,Male,57-61,57,61,170.0,81
3 Repetition Deadlift,Female,57-61,57,61,150.0,81
3 Repetition Deadlift,Male,Over 62,62,100,160.0,81
3 Repetition Deadlift,Female,Over 62,62,100,150.0,81
3 Repetition Deadlift,Male,17-21,17,21,240.0,80
3 Repetition Deadlift,Female,17-21,17,21,160.0,80
3 Repetition Deadlift,Male,22-26,22,26,250.0,80
3 Repetition Deadlift,Female,22-26,22,26,160.0,80
3 Repetition Deadlift,Male,27-31,27,31,250.0,80
3 Repetition Deadlift,Female,27-31,27,31,160.0,80
3 Repetition Deadlift,Male,32-36,32,36,240.0,80
3 Repetition Deadlift,Female,32-36,32,36,160.0,80
3 Repetition Deadlift,Male,37-41,37,41,220.0,80
3 Repetition Deadlift,Female,37-41,37,41,160.0,80
3 Repetition Deadlift,Male,42-46,42,46,210.0,80
3 Repetition Deadlift,Female,42-46,42,46,160.0,80
3 Repetition Deadlift,Male,47-51,47,51,170.0,80
3 Repetition Deadlift,Female,47-51,47,51,160.0,80
3 Repetition Deadlift,Male,52-56,52,56,170.0,80
3 Repetition Deadlift,Female,52-56,52,56,140.0,80
3 Repetition Deadlift,Male,57-61,57,61,170.0,80
3 Repetition Deadlift,Female,57-61,57,61,140.0,80
3 Repetition Deadlift,Male,Over 62,62,100,160.0,80
3 Repetition Deadlift,Female,Over 62,62,100,140.0,80
3 Repetition Deadlift,Male,17-21,17,21,230.0,79
3 Repetition Deadlift,Female,17-21,17,21,160.0,79
3 Repetition Deadlift,Male,22-26,22,26,240.0,79
3 Repetition Deadlift,Female,22-26,22,26,160.0,79
3 Repetition Deadlift,Male,27-31,27,31,240.0,79
3 Repetition Deadlift,Female,27-31,27,31,150.0,79
3 Repetition Deadlift,Male,32-36,32,36,230.0,79
3 Repetition Deadlift,Female,32-36,32,36,150.0,79
3 Repetition Deadlift,Male,37-41,37,41,220.0,79
3 Repetition Deadlift,Female,37-41,37,41,150.0,79
3 Repetition Deadlift,Male,42-46,42,46,200.0,79
3 Repetition Deadlift,Female,42-46,42,46,150.0,79
3 Repetition Deadlift,Male,47-51,47,51,170.0,79
3 Repetition Deadlift,Female,47-51,47,51,150.0,79
3 Repetition Deadlift,Male,52-56,52,56,160.0,79
3 Repetition Deadlift,Female,52-56,52,56,140.0,79
3 Repetition Deadlift,Male,57-61,57,61,160.0,79
3 Repetition Deadlift,Female,57-61,57,61,140.0,79
3 Repetition Deadlift,Male,Over 62,62,100,160.0,79
3 Repetition Deadlift,Female,Over 62,62,100,140.0,79
3 Repetition Deadlift,Male,17-21,17,21,230.0,78
3 Repetition Deadlift,Female,17-21,17,21,150.0,78
3 Repetition Deadlift,Male,22-26,22,26,240.0,78
3 Repetition Deadlift,Female,22-26,22,26,150.0,78
3 Repetition Deadlift,Male,27-31,27,31,240.0,78
3 Repetition Deadlift,Female,27-31,27,31,150.0,78
3 Repetition Deadlift,Male,32-36,32,36,230.0,78
3 Repetition Deadlift,Female,32-36,32,36,150.0,78
3 Repetition Deadlift,Male,37-41,37,41,210.0,78
3 Repetition Deadlift,Female,37-41,37,41,150.0,78
3 Repetition Deadlift,Male,42-46,42,46,200.0,78
3 Repetition Deadlift,Female,42-46,42,46,150.0,78
3 Repetition Deadlift,Male,47-51,47,51,160.0,78
3 Repetition Deadlift,Female,47-51,47,51,150.0,78
3 Repetition Deadlift,Male,52-56,52,56,160.0,78
3 Repetition Deadlift,Female,52-56,52,56,140.0,78
3 Repetition Deadlift,Male,57-61,57,61,160.0,78
3 Repetition Deadlift,Female,57-61,57,61,140.0,78
3 Repetition Deadlift,Male,Over 62,62,100,160.0,78
3 Repetition Deadlift,Female,Over 62,62,100,140.0,78
3 Repetition Deadlift,Male,17-21,17,21,220.0,77
3 Repetition Deadlift,Female,17-21,17,21,150.0,77
3 Repetition Deadlift,Male,22-26,22,26,230.0,77
3 Repetition Deadlift,Female,22-26,22,26,150.0,77
3 Repetition Deadlift,Male,27-31,27,31,230.0,77
3 Repetition Deadlift,Female,27-31,27,31,150.0,77
3 Repetition Deadlift,Male,32-36,32,36,220.0,77
3 Repetition Deadlift,Female,32-36,32,36,150.0,77
3 Repetition Deadlift,Male,37-41,37,41,210.0,77
3 Repetition Deadlift,Female,37-41,37,41,150.0,77
3 Repetition Deadlift,Male,42-46,42,46,190.0,77
3 Repetition Deadlift,Female,42-46,42,46,150.0,77
3 Repetition Deadlift,Male,47-51,47,51,160.0,77
3 Repetition Deadlift,Female,47-51,47,51,150.0,77
3 Repetition Deadlift,Male,52-56,52,56,160.0,77
3 Repetition Deadlift,Female,52-56,52,56,140.0,77
3 Repetition Deadlift,Male,57-61,57,61,160.0,77
3 Repetition Deadlift,Female,57-61,57,61,140.0,77
3 Repetition Deadlift,Male,Over 62,62,100,160.0,77
